Team,Elo,K,last_result,points
GIF Sundsvall,1513.195495643043,29.0,1,3
GIF Sundsvall,1498.194882434504,28.0,0,0
GIF Sundsvall,1482.413926472793,29.0,0,0
GIF Sundsvall,1464.983645646689,30.0,0,0
GIF Sundsvall,1448.6678986513407,31.0,0,0
GIF Sundsvall,1432.534548855453,32.0,0,0
GIF Sundsvall,1414.4613905578262,33.0,0,0
GIF Sundsvall,1431.8642239441263,32.0,1,3
GIF Sundsvall,1411.2466099505384,31.0,0,0
GIF Sundsvall,1394.5384855169398,32.0,0,0
GIF Sundsvall,1404.0466589852508,31.0,1,3
GIF Sundsvall,1391.9439295337336,30.0,0,0
GIF Sundsvall,1374.0804098159354,31.0,0,0
GIF Sundsvall,1363.6298830794192,32.0,0,0
GIF Sundsvall,1375.6364876650775,31.0,1,3
GIF Sundsvall,1365.689292510408,30.0,0,0
GIF Sundsvall,1341.8830799422226,31.0,0,0
GIF Sundsvall,1321.2011725643538,32.0,0,0
GIF Sundsvall,1324.5892289266185,31.0,0.5,1
GIF Sundsvall,1304.5731690746777,30.0,0,0
GIF Sundsvall,1285.9577989091156,31.0,0,0
GIF Sundsvall,1267.1805689417263,32.0,0,0
GIF Sundsvall,1259.3129488734955,33.0,0,0
GIF Sundsvall,1233.592674254195,34.0,0,0
GIF Sundsvall,1255.5366690236726,33.0,1,3
