Team,Elo,K,last_result,points
Helsingborgs IF,1516.804504356957,29.0,1,3
Helsingborgs IF,1505.2670890590239,28.0,0,0
Helsingborgs IF,1521.4271742956657,27.0,1,3
Helsingborgs IF,1510.4740098517582,26.0,0,0
Helsingborgs IF,1525.374622112032,25.0,1,3
Helsingborgs IF,1528.3413804354764,24.0,0.5,1
Helsingborgs IF,1529.212961397362,25.0,0.5,1
Helsingborgs IF,1518.1131322485307,24.0,0,0
Helsingborgs IF,1531.0795386989353,23.0,1,3
Helsingborgs IF,1519.6845043890078,22.0,0,0
Helsingborgs IF,1508.6998092480542,23.0,0,0
