Team,Elo,K,last_result,points
IFK Norrköping,1513.195495643043,29.0,1,3
IFK Norrköping,1527.0321528813279,30.0,1,3
IFK Norrköping,1511.3801000865806,29.0,0,0
IFK Norrköping,1493.8970739605081,30.0,0,0
IFK Norrköping,1476.4633278498682,31.0,0,0
IFK Norrköping,1491.3299780539805,30.0,1,3
IFK Norrköping,1490.751169990144,29.0,0.5,1
IFK Norrköping,1489.302162160623,30.0,0.5,1
IFK Norrköping,1501.0102905689014,29.0,1,3
IFK Norrköping,1512.4238357436714,30.0,1,3
IFK Norrköping,1525.901093231639,31.0,1,3
IFK Norrköping,1541.151146680449,32.0,1,3
IFK Norrköping,1554.6983684513368,33.0,1,3
IFK Norrköping,1563.9881608551138,34.0,1,3
IFK Norrköping,1541.7692697203183,33.0,0,0
IFK Norrköping,1528.351972976878,34.0,0,0
IFK Norrköping,1538.264038400872,33.0,1,3
IFK Norrköping,1546.671209525848,34.0,1,3
IFK Norrköping,1530.5609909718873,33.0,0,0
IFK Norrköping,1542.6729059230452,32.0,1,3
IFK Norrköping,1526.264516385878,31.0,0,0
IFK Norrköping,1535.9308608725419,30.0,1,3
IFK Norrköping,1516.0943303356835,29.0,0,0
IFK Norrköping,1524.1081390804811,28.0,1,3
IFK Norrköping,1539.334465971139,29.0,1,3
