Team,Elo,K,last_result,points
IFK Värnamo,1483.195495643043,29.0,0,0
IFK Värnamo,1497.194882434504,28.0,1,3
IFK Värnamo,1510.451611539091,29.0,1,3
IFK Värnamo,1522.509434085604,30.0,1,3
IFK Värnamo,1508.0335310916248,29.0,0,0
IFK Värnamo,1493.0232081925267,30.0,0,0
IFK Värnamo,1477.8753951804006,31.0,0,0
IFK Värnamo,1475.6937771092485,30.0,0.5,1
IFK Värnamo,1457.9000778918776,29.0,0,0
IFK Värnamo,1444.93584771872,30.0,0,0
IFK Värnamo,1428.3795765126226,31.0,0,0
IFK Värnamo,1414.9796846746426,32.0,0,0
IFK Värnamo,1412.0225503576505,31.0,0.5,1
IFK Värnamo,1393.8176061714066,30.0,0,0
IFK Värnamo,1378.1513698461208,31.0,0,0
IFK Värnamo,1379.959750387902,30.0,0.5,1
IFK Värnamo,1362.4432913337203,29.0,0,0
IFK Värnamo,1345.5568462864812,30.0,0,0
IFK Värnamo,1337.9561190176762,31.0,0,0
IFK Värnamo,1329.850611541408,32.0,0,0
IFK Värnamo,1308.7081991165219,33.0,0,0
IFK Värnamo,1303.0390075973799,34.0,0,0
IFK Värnamo,1277.3141813101397,35.0,0,0
IFK Värnamo,1296.357749749081,34.0,1,3
IFK Värnamo,1276.4544246224232,33.0,0,0
