Team,Elo,K,last_result,points
IK Brage,1513.195495643043,29.0,1,3
IK Brage,1495.7564512919755,28.0,0,0
IK Brage,1507.9754953302645,27.0,1,3
IK Brage,1505.8088429428067,26.0,0.5,1
IK Brage,1491.5847539373115,25.0,0,0
IK Brage,1501.9083677882797,24.0,1,3
IK Brage,1487.6386647595484,23.0,0,0
IK Brage,1486.1896569300275,22.0,0.5,1
IK Brage,1472.1530194573609,21.0,0,0
IK Brage,1470.1285798847816,20.0,0.5,1
IK Brage,1467.6176630877005,21.0,0.5,1
IK Brage,1453.4185832159415,20.0,0,0
IK Brage,1450.4614488989494,19.0,0.5,1
IK Brage,1462.3872916718249,18.0,1,3
IK Brage,1470.7701655611372,19.0,1,3
IK Brage,1472.5785461029184,18.0,0.5,1
IK Brage,1462.1558196671808,17.0,0,0
IK Brage,1445.5629907921568,18.0,0,0
IK Brage,1455.5539449401747,17.0,1,3
IK Brage,1468.38215012581,18.0,1,3
IK Brage,1466.2500475624322,17.0,0.5,1
IK Brage,1471.472817595043,16.0,1,3
IK Brage,1458.6221814829046,15.0,0,0
IK Brage,1460.066066347487,14.0,0.5,1
IK Brage,1443.467008266424,13.0,0,0
