Team,Elo,K,last_result,points
IK Oddevold,1501.804504356957,31.0,0.5,1
IK Oddevold,1517.9678471186721,30.0,1,3
IK Oddevold,1504.0434469454074,29.0,0,0
IK Oddevold,1490.5815459836822,30.0,0,0
IK Oddevold,1507.8815477731428,29.0,1,3
IK Oddevold,1509.6700874465957,28.0,0.5,1
IK Oddevold,1510.5416684084814,29.0,0.5,1
IK Oddevold,1526.881398604899,28.0,1,3
IK Oddevold,1542.5808691502136,29.0,1,3
IK Oddevold,1529.1209101108925,28.0,0,0
IK Oddevold,1517.0873062076823,29.0,0,0
IK Oddevold,1535.7519112400666,28.0,1,3
