Team,Elo,K,last_result,points
Ljungskile SK,1498.195495643043,31.0,0.5,1
Ljungskile SK,1482.0321528813279,30.0,0,0
Ljungskile SK,1465.8688101196128,31.0,0,0
Ljungskile SK,1480.4990900659473,30.0,1,3
Ljungskile SK,1465.385019510245,29.0,0,0
Ljungskile SK,1448.75119759561,30.0,0,0
Ljungskile SK,1461.678039297983,29.0,1,3
Ljungskile SK,1472.0549315764626,30.0,1,3
Ljungskile SK,1454.2223813311095,29.0,0,0
Ljungskile SK,1441.3759450074456,30.0,0,0
Ljungskile SK,1438.8650282103645,29.0,0.5,1
Ljungskile SK,1439.9276857939278,30.0,0.5,1
Ljungskile SK,1435.99831045152,31.0,0.5,1
Ljungskile SK,1420.3758326718107,30.0,0,0
Ljungskile SK,1434.709596346525,29.0,1,3
Ljungskile SK,1436.12634953521,28.0,0.5,1
Ljungskile SK,1430.95603740201,29.0,0.5,1
Ljungskile SK,1444.3836404926137,28.0,1,3
Ljungskile SK,1457.0993578669704,29.0,1,3
Ljungskile SK,1438.9862457212396,28.0,0,0
Ljungskile SK,1447.8438332963535,27.0,1,3
Ljungskile SK,1428.5101777830173,26.0,0,0
Ljungskile SK,1437.7176970052071,25.0,1,3
Ljungskile SK,1449.671054877792,26.0,1,3
Ljungskile SK,1441.6150496472696,25.0,0,0
