Team,Elo,K,last_result,points
Nordic United FC,1483.195495643043,29.0,0,0
Nordic United FC,1497.194882434504,28.0,1,3
Nordic United FC,1482.1667273207838,27.0,0,0
Nordic United FC,1494.7928115908721,26.0,1,3
Nordic United FC,1507.6787410351699,27.0,1,3
Nordic United FC,1519.453741297142,28.0,1,3
Nordic United FC,1518.8749332333055,27.0,0.5,1
Nordic United FC,1503.7325171597095,26.0,0,0
Nordic United FC,1513.6958796870429,25.0,1,3
Nordic United FC,1527.7316495138853,26.0,1,3
Nordic United FC,1525.6527716999824,25.0,0.5,1
