Team,Elo,K,last_result,points
Norrby IF,1483.195495643043,29.0,0,0
Norrby IF,1480.2329109409761,28.0,0.5,1
Norrby IF,1479.8073111692956,29.0,0.5,1
Norrby IF,1476.3263568596738,30.0,0.5,1
Norrby IF,1475.066033437498,31.0,0.5,1
Norrby IF,1474.7167743693126,32.0,0.5,1
Norrby IF,1472.2052597658349,33.0,0.5,1
Norrby IF,1470.0236416946827,34.0,0.5,1
Norrby IF,1484.1910914493296,33.0,1,3
Norrby IF,1468.5486934557566,32.0,0,0
Norrby IF,1447.676482508678,33.0,0,0
Norrby IF,1431.7202891905617,34.0,0,0
Norrby IF,1433.9266294773522,33.0,0.5,1
Norrby IF,1410.2164218811292,32.0,0,0
Norrby IF,1390.2230264667876,33.0,0,0
Norrby IF,1379.706654176937,34.0,0,0
Norrby IF,1359.5883297976118,35.0,0,0
Norrby IF,1347.260625541281,36.0,0,0
Norrby IF,1323.637818809061,37.0,0,0
Norrby IF,1313.4593189554892,38.0,0,0
Norrby IF,1328.843948789927,37.0,1,3
Norrby IF,1320.844562823928,36.0,0,0
Norrby IF,1299.052082046118,37.0,0,0
Norrby IF,1310.4766297663623,36.0,0.5,1
Norrby IF,1316.9000752922864,35.0,1,3
