Team,Elo,K,last_result,points
Sandvikens IF,1501.804504356957,31.0,0.5,1
Sandvikens IF,1502.9678471186721,32.0,0.5,1
Sandvikens IF,1489.8276073602067,31.0,0,0
Sandvikens IF,1476.9580528415536,32.0,0,0
Sandvikens IF,1479.4008281730144,31.0,0.5,1
Sandvikens IF,1496.3568523356926,30.0,1,3
Sandvikens IF,1483.4849014486454,29.0,0,0
Sandvikens IF,1469.863179994292,30.0,0,0
Sandvikens IF,1457.9761955817994,31.0,0,0
Sandvikens IF,1475.9812672930218,30.0,1,3
Sandvikens IF,1496.4395948581382,31.0,1,3
Sandvikens IF,1511.2347372140778,32.0,1,3
