Team,Elo,K,last_result,points
Varbergs BoIS,1483.195495643043,29.0,0,0
Varbergs BoIS,1480.7564512919755,28.0,0.5,1
Varbergs BoIS,1493.7282961782553,27.0,1,3
Varbergs BoIS,1491.5616437907975,26.0,0.5,1
Varbergs BoIS,1491.1502028287453,27.0,0.5,1
Varbergs BoIS,1504.1398799296471,26.0,1,3
Varbergs BoIS,1514.8617496994061,27.0,1,3
Varbergs BoIS,1526.6342670962506,28.0,1,3
Varbergs BoIS,1536.0166531026628,29.0,1,3
Varbergs BoIS,1552.1702167789988,30.0,1,3
Varbergs BoIS,1562.2980058319201,31.0,1,3
Varbergs BoIS,1546.5480592807303,30.0,0,0
Varbergs BoIS,1556.8806620177907,29.0,1,3
Varbergs BoIS,1567.821708610488,30.0,1,3
Varbergs BoIS,1583.8925443225194,31.0,1,3
Varbergs BoIS,1585.9995228193936,30.0,0.5,1
Varbergs BoIS,1596.4982720254666,29.0,1,3
Varbergs BoIS,1606.7951169022108,30.0,1,3
Varbergs BoIS,1593.7574125212159,29.0,0,0
Varbergs BoIS,1597.1236286567948,28.0,0.5,1
Varbergs BoIS,1603.7623636921633,27.0,1,3
Varbergs BoIS,1628.0931721730212,28.0,1,3
Varbergs BoIS,1637.2566416361628,29.0,1,3
Varbergs BoIS,1648.6811893564072,28.0,0.5,1
Varbergs BoIS,1653.0821312753442,27.0,1,3
