Team,Elo,K,last_result,points
Helsingborgs IF,1437.3730259273473,0,0,32.31
Landskrona BoIS,1482.8102559289496,0,0,35.96
Örebro SK,1438.1150793060483,0,0,29.54
GIF Sundsvall,1322.9630562142615,0,0,21.84
Varbergs BoIS,1573.2381382231404,0,0,46.39
Norrby IF,1387.2529285637613,0,0,24.61
IK Brage,1414.3887244931104,0,0,29.07
Ljungskile SK,1398.5863986570375,0,0,27.28
IK Oddevold,1477.3756750184984,0,0,36.63
IFK Norrköping,1533.382602305138,0,0,43.71
Nordic United FC,1526.989491347439,0,0,41.47
Östersunds FK,1532.0923188242982,0,0,41.44
Östers IF,1510.5103119358482,0,0,39.86
IFK Värnamo,1372.9100891046937,0,0,24.54
Sandvikens IF,1449.0848773700961,0,0,32.73
Falkenbergs FF,1535.1445108362436,0,0,41.26
