hemmalag,bortalag
IFK Värnamo,Helsingborgs IF
Landskrona BoIS,Nordic United FC
Helsingborgs IF,GIF Sundsvall
IK Brage,IFK Värnamo
Östers IF,Falkenbergs FF
Norrby IF,Nordic United FC
Östersunds FK,IFK Norrköping
IK Oddevold,Ljungskile SK
Varbergs BoIS,Landskrona BoIS
Örebro SK,Sandvikens IF
IK Brage,Falkenbergs FF
Ljungskile SK,Örebro SK
Varbergs BoIS,Östers IF
GIF Sundsvall,Östersunds FK
Nordic United FC,IK Oddevold
IFK Norrköping,Norrby IF
Landskrona BoIS,IFK Värnamo
Sandvikens IF,Helsingborgs IF
IK Oddevold,Varbergs BoIS
Östersunds FK,Landskrona BoIS
Östers IF,IK Brage
IFK Norrköping,Sandvikens IF
IFK Värnamo,Ljungskile SK
Nordic United FC,Örebro SK
Norrby IF,GIF Sundsvall
Falkenbergs FF,Helsingborgs IF
IFK Värnamo,IK Brage
GIF Sundsvall,Falkenbergs FF
Ljungskile SK,Sandvikens IF
Norrby IF,Östersunds FK
Örebro SK,IK Oddevold
Östers IF,Varbergs BoIS
Helsingborgs IF,Nordic United FC
Landskrona BoIS,IFK Norrköping
IK Oddevold,Norrby IF
Östersunds FK,Östers IF
Sandvikens IF,GIF Sundsvall
Varbergs BoIS,Falkenbergs FF
IFK Norrköping,Helsingborgs IF
IK Brage,Landskrona BoIS
Nordic United FC,Ljungskile SK
Örebro SK,IFK Värnamo
Östersunds FK,GIF Sundsvall
Falkenbergs FF,Nordic United FC
Ljungskile SK,IK Oddevold
Östers IF,Landskrona BoIS
IFK Norrköping,IK Brage
Varbergs BoIS,Sandvikens IF
Norrby IF,Örebro SK
Helsingborgs IF,IFK Värnamo
IK Brage,Örebro SK
Landskrona BoIS,IK Oddevold
Ljungskile SK,Östers IF
GIF Sundsvall,Helsingborgs IF
Nordic United FC,Varbergs BoIS
Falkenbergs FF,Norrby IF
Sandvikens IF,IFK Norrköping
IFK Värnamo,Östersunds FK
IK Oddevold,Helsingborgs IF
IK Brage,Nordic United FC
Norrby IF,Sandvikens IF
IFK Värnamo,Landskrona BoIS
Östersunds FK,Ljungskile SK
IFK Norrköping,Falkenbergs FF
Örebro SK,Varbergs BoIS
Östers IF,GIF Sundsvall
Landskrona BoIS,Östersunds FK
Ljungskile SK,IFK Värnamo
Falkenbergs FF,IK Brage
Nordic United FC,IFK Norrköping
Varbergs BoIS,IK Oddevold
Sandvikens IF,Östers IF
GIF Sundsvall,Norrby IF
Helsingborgs IF,Örebro SK
IFK Norrköping,Ljungskile SK
Östers IF,Nordic United FC
IFK Värnamo,Varbergs BoIS
IK Oddevold,Falkenbergs FF
Norrby IF,Landskrona BoIS
Helsingborgs IF,Sandvikens IF
IK Brage,GIF Sundsvall
Örebro SK,Östersunds FK
Landskrona BoIS,Helsingborgs IF
Ljungskile SK,Norrby IF
Nordic United FC,IFK Värnamo
Sandvikens IF,IK Oddevold
Falkenbergs FF,Östers IF
GIF Sundsvall,Örebro SK
Östersunds FK,IK Brage
Varbergs BoIS,IFK Norrköping
IFK Norrköping,IK Oddevold
Ljungskile SK,Falkenbergs FF
Norrby IF,Varbergs BoIS
Örebro SK,Nordic United FC
Östersunds FK,Helsingborgs IF
IFK Värnamo,Östers IF
IK Brage,Sandvikens IF
Landskrona BoIS,GIF Sundsvall
Falkenbergs FF,Östersunds FK
Nordic United FC,Landskrona BoIS
Östers IF,IFK Norrköping
IK Oddevold,IFK Värnamo
Varbergs BoIS,IK Brage
Sandvikens IF,Örebro SK
GIF Sundsvall,Ljungskile SK
Helsingborgs IF,Norrby IF
