hemmalag,hemma_mal,bortalag,borta_mal
Helsingborgs IF,0,Landskrona BoIS,3
Örebro SK,0,GIF Sundsvall,1
Varbergs BoIS,2,Norrby IF,0
IK Brage,2,Ljungskile SK,2
IK Oddevold,1,IFK Norrköping,2
Nordic United FC,1,Östersunds FK,1
Östers IF,3,IFK Värnamo,0
Sandvikens IF,4,Falkenbergs FF,2
Helsingborgs IF,0,IFK Norrköping,2
Östersunds FK,3,Örebro SK,2
IFK Värnamo,0,Nordic United FC,2
Östers IF,2,Norrby IF,1
Falkenbergs FF,2,IK Oddevold,1
GIF Sundsvall,0,Sandvikens IF,3
Landskrona BoIS,2,IK Brage,2
Ljungskile SK,1,Varbergs BoIS,3
Örebro SK,1,Helsingborgs IF,2
IFK Norrköping,2,Östers IF,0
Sandvikens IF,0,Landskrona BoIS,1
Varbergs BoIS,1,GIF Sundsvall,0
Falkenbergs FF,3,IFK Värnamo,1
IK Oddevold,1,Östersunds FK,0
Nordic United FC,1,IK Brage,0
Norrby IF,2,Ljungskile SK,1
Helsingborgs IF,1,Varbergs BoIS,3
IK Oddevold,4,Örebro SK,1
GIF Sundsvall,2,Landskrona BoIS,1
IFK Värnamo,2,Norrby IF,2
Nordic United FC,1,Falkenbergs FF,4
Östers IF,1,Ljungskile SK,4
Östersunds FK,2,Sandvikens IF,1
IK Brage,0,IFK Norrköping,0
Ljungskile SK,1,GIF Sundsvall,0
Falkenbergs FF,0,Varbergs BoIS,3
Helsingborgs IF,2,IK Oddevold,2
IFK Norrköping,1,Nordic United FC,1
IK Brage,2,Östersunds FK,4
Östers IF,1,Sandvikens IF,0
IFK Värnamo,0,Örebro SK,1
Landskrona BoIS,1,Norrby IF,1
GIF Sundsvall,1,IFK Norrköping,3
Sandvikens IF,1,Ljungskile SK,0
Norrby IF,3,Helsingborgs IF,3
IK Oddevold,1,Landskrona BoIS,1
Nordic United FC,4,Östers IF,2
Östersunds FK,2,Falkenbergs FF,2
Örebro SK,0,IK Brage,3
Varbergs BoIS,3,IFK Värnamo,2
Falkenbergs FF,1,IFK Norrköping,0
Landskrona BoIS,2,Östers IF,2
Helsingborgs IF,2,IK Brage,0
Östersunds FK,3,IFK Värnamo,2
GIF Sundsvall,1,IK Oddevold,3
Sandvikens IF,2,Norrby IF,2
Varbergs BoIS,0,Örebro SK,0
Ljungskile SK,0,Nordic United FC,2
IFK Norrköping,1,Landskrona BoIS,3
IK Brage,2,Varbergs BoIS,2
IFK Värnamo,3,IK Oddevold,1
Nordic United FC,2,Sandvikens IF,1
Örebro SK,1,Norrby IF,1
Falkenbergs FF,1,GIF Sundsvall,0
Östers IF,1,Östersunds FK,0
Ljungskile SK,4,Helsingborgs IF,1
Örebro SK,2,IFK Norrköping,1
GIF Sundsvall,1,IK Brage,2
IK Oddevold,1,Östers IF,2
Helsingborgs IF,2,Östersunds FK,1
Norrby IF,2,Falkenbergs FF,2
Landskrona BoIS,1,Ljungskile SK,0
Sandvikens IF,0,IFK Värnamo,1
Varbergs BoIS,4,Nordic United FC,1
IFK Värnamo,3,GIF Sundsvall,0
Sandvikens IF,2,Varbergs BoIS,2
IK Brage,3,IK Oddevold,4
Landskrona BoIS,1,Falkenbergs FF,2
Östersunds FK,1,Norrby IF,1
Nordic United FC,3,Helsingborgs IF,1
Ljungskile SK,0,IFK Norrköping,1
Östers IF,0,Örebro SK,0
IK Oddevold,2,Sandvikens IF,2
Örebro SK,1,Landskrona BoIS,0
Varbergs BoIS,1,Östersunds FK,2
Falkenbergs FF,1,Ljungskile SK,1
GIF Sundsvall,3,Nordic United FC,2
Norrby IF,0,IK Brage,1
IFK Norrköping,6,IFK Värnamo,0
Helsingborgs IF,4,Östers IF,1
