Team,Elo,K,last_result,points
Örebro SK,1513.195495643043,29.0,1,3
Örebro SK,1512.694882434504,28.0,0.5,1
Örebro SK,1526.0428296397567,27.0,1,3
Örebro SK,1522.5618753301349,26.0,0.5,1
Örebro SK,1522.1504343680826,27.0,0.5,1
Örebro SK,1506.474048219051,26.0,0,0
Örebro SK,1519.3262352069248,25.0,1,3
Örebro SK,1505.4841434269165,24.0,0,0
Örebro SK,1491.568353651539,25.0,0,0
Örebro SK,1477.2406620182855,26.0,0,0
Örebro SK,1457.7488354865966,27.0,0,0
Örebro SK,1453.1166539177418,26.0,0.5,1
Örebro SK,1437.5518300614392,25.0,0,0
Örebro SK,1449.92935228173,24.0,1,3
Örebro SK,1445.4600965771442,23.0,0.5,1
Örebro SK,1444.5500682268962,24.0,0.5,1
Örebro SK,1454.0336091727145,23.0,1,3
Örebro SK,1470.7059049163836,24.0,1,3
Örebro SK,1459.6968590644015,23.0,0,0
Örebro SK,1463.0630751999804,22.0,0.5,1
Örebro SK,1452.3046875232922,21.0,0,0
Örebro SK,1454.2251413096903,20.0,0.5,1
Örebro SK,1472.3575212414596,19.0,1,3
Örebro SK,1474.4111469017032,18.0,0.5,1
Örebro SK,1458.6244713707774,17.0,0,0
