Team,Elo,K,last_result,points
Östers IF,1483.195495643043,29.0,0,0
Östers IF,1482.694882434504,28.0,0.5,1
Östers IF,1494.3099074255972,27.0,1,3
Östers IF,1506.2133806364222,28.0,1,3
Östers IF,1505.0401936875874,27.0,0.5,1
Östers IF,1489.8151939495594,26.0,0,0
Östers IF,1501.536003629004,25.0,1,3
Östers IF,1484.9128959074835,24.0,0,0
Östers IF,1469.6210243157618,25.0,0,0
Östers IF,1482.9786263221888,24.0,1,3
Östers IF,1493.4223551160915,25.0,1,3
Östers IF,1509.3196256645742,26.0,1,3
Östers IF,1521.7232558048079,27.0,1,3
Östers IF,1504.6643023975053,26.0,0,0
Östers IF,1491.0471762868176,27.0,0,0
Östers IF,1493.1541547836919,26.0,0.5,1
Östers IF,1479.1897192889435,25.0,0,0
Östers IF,1478.7847444085096,24.0,0.5,1
Östers IF,1465.5004617828663,23.0,0,0
Östers IF,1472.4844019309255,22.0,1,3
Östers IF,1454.9644463952625,21.0,0,0
Östers IF,1445.5045403244862,22.0,0,0
Östers IF,1431.9720285948517,23.0,0,0
Östers IF,1422.015597033793,24.0,0,0
Östers IF,1411.241923924451,25.0,0,0
