Team,Elo,K,last_result,points
Östersunds FK,1513.195495643043,29.0,1,3
Östersunds FK,1510.2329109409761,28.0,0.5,1
Östersunds FK,1495.0285701779803,27.0,0,0
Östersunds FK,1479.9320433888054,28.0,0,0
Östersunds FK,1494.4561403948262,27.0,1,3
Östersunds FK,1494.3870904598925,26.0,0.5,1
Östersunds FK,1505.1173874311612,25.0,1,3
Östersunds FK,1515.2455947734666,26.0,1,3
Östersunds FK,1500.735497878245,25.0,0,0
Östersunds FK,1511.4078062449917,24.0,1,3
Östersunds FK,1509.3289284310888,23.0,0.5,1
Östersunds FK,1510.3915860146521,24.0,0.5,1
